Title,Type,Episodes,Episode length,Genres,Age Limit,Studio,Author,Rate,Link
Стальной алхимик: Братство,TV Сериал,64,24 мин,"['Сёнен', 'Экшен', 'Приключения', 'Драма', 'Фэнтези', 'Военное']",R-17,Bones,Hiromu Arakawa,9.1,https://shikimori.me/animes/z5114-fullmetal-alchemist-brotherhood
Врата Штейна,TV Сериал,24,24 мин,"['Драма', 'Фантастика', 'Триллер', 'Психологическое']",PG-13,White Fox,Hiroshi Hamasaki,9.07,https://shikimori.me/animes/z9253-steins-gate
Блич: Тысячелетняя кровавая война,TV Сериал,13,24 мин,"['Экшен', 'Приключения', 'Фэнтези', 'Сёнен']",R-17,Pierrot,Tite Kubo,9.06,https://shikimori.me/animes/41467-bleach-sennen-kessen-hen
Гинтама 4,TV Сериал,51,24 мин,"['Сёнен', 'Экшен', 'Комедия', 'Фантастика', 'Исторический', 'Пародия', 'Самураи']",PG-13,Bandai Namco Pictures,Hideaki Sorachi,9.06,https://shikimori.me/animes/z28977-gintama
Атака титанов 3. Часть 2,TV Сериал,10,23 мин,"['Сёнен', 'Экшен', 'Драма', 'Военное']",R-17,Wit,Hajime Isayama,9.05,https://shikimori.me/animes/38524-shingeki-no-kyojin-season-3-part-2
Гинтама 2,TV Сериал,51,24 мин,"['Сёнен', 'Экшен', 'Комедия', 'Фантастика', 'Исторический', 'Пародия', 'Самураи']",PG-13,Sunrise,Hideaki Sorachi,9.04,https://shikimori.me/animes/z9969-gintama
Гинтама: Финал,Фильм,Не указано,1 час 44 мин,"['Сёнен', 'Экшен', 'Комедия', 'Драма', 'Фантастика', 'Исторический', 'Пародия', 'Самураи']",PG-13,Bandai Namco Pictures,Hideaki Sorachi,9.04,https://shikimori.me/animes/39486-gintama-the-final
Охотник х Охотник (2011),TV Сериал,148,23 мин,"['Экшен', 'Приключения', 'Фэнтези', 'Сёнен']",PG-13,Madhouse,Yoshihiro Togashi,9.04,https://shikimori.me/animes/z11061-hunter-x-hunter-2011
Госпожа Кагуя: в любви как на войне 3,TV Сериал,13,23 мин,"['Комедия', 'Романтика', 'Школа', 'Сэйнэн']",PG-13,A-1 Pictures,Aka Akasaka,9.04,https://shikimori.me/animes/43608-kaguya-sama-wa-kokurasetai-ultra-romantic
Гинтама 3,TV Сериал,13,24 мин,"['Сёнен', 'Экшен', 'Комедия', 'Фантастика', 'Исторический', 'Пародия', 'Самураи']",PG-13,Sunrise,Hideaki Sorachi,9.03,https://shikimori.me/animes/z15417-gintama-enchousen
Атака титанов: Финал — Заключительная глава,Спешл,1 / 2,1 час 1 мин,"['Экшен', 'Драма', 'Военное', 'Сёнен']",R-17,MAPPA,Hajime Isayama,9.03,https://shikimori.me/animes/51535-shingeki-no-kyojin-the-final-season-kanketsu-hen
Легенда о героях Галактики,OVA,110,26 мин,"['Драма', 'Фантастика', 'Военное', 'Космос']",R+,K-Factory,Yoshiki Tanaka,9.02,https://shikimori.me/animes/820-ginga-eiyuu-densetsu
Корзинка фруктов: Финал,TV Сериал,13,23 мин,"['Драма', 'Романтика', 'Сверхъестественное', 'Сёдзё']",PG-13,TMS,Natsuki Takaya,9.0,https://shikimori.me/animes/42938-fruits-basket-the-final
Гинтама 5,TV Сериал,12,24 мин,"['Сёнен', 'Экшен', 'Комедия', 'Фантастика', 'Исторический', 'Пародия', 'Самураи']",PG-13,Bandai Namco Pictures,Hideaki Sorachi,8.98,https://shikimori.me/animes/z34096-gintama
Блич: Тысячелетняя кровавая война — Прощание,TV Сериал,6 / 13,24 мин,"['Экшен', 'Приключения', 'Фэнтези', 'Сёнен']",R-17,Pierrot,Tite Kubo,8.96,https://shikimori.me/animes/53998-bleach-sennen-kessen-hen-ketsubetsu-tan
Гинтама,TV Сериал,201,24 мин,"['Сёнен', 'Экшен', 'Комедия', 'Фантастика', 'Исторический', 'Пародия', 'Самураи']",PG-13,Sunrise,Hideaki Sorachi,8.94,https://shikimori.me/animes/z918-gintama
Форма голоса,Фильм,Не указано,2 часа 10 мин,"['Драма', 'Сёнен']",PG-13,Kyoto,Yoshitoki Ooima,8.94,https://shikimori.me/animes/y28851-koe-no-katachi
Мартовский лев 2,TV Сериал,22,25 мин,"['Драма', 'Сэйнэн']",PG-13,Shaft,Chika Umino,8.93,https://shikimori.me/animes/35180-3-gatsu-no-lion-2nd-season
Кланнад: Продолжение истории,TV Сериал,24,24 мин,"['Драма', 'Романтика', 'Сверхъестественное']",PG-13,Kyoto,Jun Maeda,8.93,https://shikimori.me/animes/z4181-clannad-after-story
